csvData = `Kategori,Produk,Barcode,Gambar
Kanzler Singles Bakso 55 gr,Bakso Original 55 gr,899320066849,https://c.alfagift.id/product/1/1_A7708160002167_20240903144033718_base.jpg
Kanzler Singles Bakso 55 gr,Bakso Keju 55 gr,899320066850,https://c.alfagift.id/product/1/1_A7708170002167_20240903144107074_base.jpg
Kanzler Singles Bakso 55 gr,Bakso Hot 55 gr,899320066898,https://c.alfagift.id/product/1/1_A7888730002167_20240903144119063_base.jpg
Kanzler Singles Bakso 55 gr,Bakso Gochujang 55 gr,899320000000,https://c.alfagift.id/product/1/1_A8248640002167_20250122163635628_base.jpg
Kanzler Frozen 450 gr,Chicken Nugget Original 450 gr,899320066438,https://c.alfagift.id/product/1/1_A7768600002167_20240711141113775_base.jpg
Kanzler Frozen 450 gr,Crispy Chicken Nugget 450 gr,899320066439,https://c.alfagift.id/product/1/1_A7768610002167_20240711141104379_base.jpg
Kanzler Frozen 450 gr,Crispy Chicken Stick 450 gr,899320066807,https://c.alfagift.id/product/1/1_A8032770002167_20240417104547862_base.jpg
Kanzler Frozen 450 gr,Chicken Nugget Spicy 450 gr,899320066913,https://c.alfagift.id/product/1/1_A8175020002167_20240814134832448_base.jpg
Kanzler Frozen 450 gr,Beef Cocktail 250 gr,899320066777,https://c.alfagift.id/product/1/1_A7768630002167_20240712160216412_base.jpg
Mini Yogurt 4x65 ml,Blueberry 4x65 ml,899320066406,https://c.alfagift.id/product/1/1_A6880780001089_20250609095043120_base.jpg
Mini Yogurt 4x65 ml,Strawberry 4x65 ml,899320066405,https://c.alfagift.id/product/1/1_A6880770001089_20250609095032581_base.jpg
Milk 250 ml,Chocolate 250 ml,899320066613,https://c.alfagift.id/product/1/1_A7254390001001_20240627150147084_base.jpg
Milk 250 ml,Bebas Laktosa 250 ml,899320066615,https://c.alfagift.id/product/1/1_A7254400001001_20240627154814297_base.jpg
Milk 250 ml,Hazelnut 250 ml,899320066680,https://c.alfagift.id/product/1/1_A7367570001139_20240627145635280_base.jpg
Milk 250 ml,Chocomalt 250 ml,899320066689,https://c.alfagift.id/product/1/1_A7367580001139_20240627150036569_base.jpg
Milk 250 ml,Almond 250 ml,899320066683,https://c.alfagift.id/product/1/1_A7558610001094_20240628150809728_base.jpg
Milk 250 ml,Cashew 250 ml,899320066686,https://c.alfagift.id/product/1/1_A7558590001094_20240627145757602_base.jpg
Milk 250 ml,Marie Biscuits 250 ml,899320066692,https://c.alfagift.id/product/1/1_A7676610001008_20240627145921534_base.jpg
Milk 250 ml,Tiramisu 250 ml,899320066724,https://c.alfagift.id/product/1/1_A7806670002167_20240627145515270_base.jpg
Milk 250 ml No Add Sugar,Matcha 225ml,899320067052,https://c.alfagift.id/product/1/1_A8344480002167_20260108143632407_base.jpg
Milk 250 ml No Add Sugar,Marie Regal 225ml,899320067053,https://c.alfagift.id/product/1/1_A8343290002167_20260108144336932_base.jpg
Milk 250 ml No Add Sugar,Chocolate 225ml,899320067049,https://c.alfagift.id/product/1/1_A8343270002167_20260108143236211_base.jpg
Milk 250 ml No Add Sugar,Almond 225ml,899320067050,https://c.alfagift.id/product/1/1_A8343280002167_20260108143621232_base.jpg
Milk 250 ml,Matcha 250 ml,899320066620,https://c.alfagift.id/product/1/1_A8121880002167_20240405134226596_base.jpg
Milk Tea 250 ml,Milk Tea 250,8993200669776,https://c.alfagift.id/product/1/1_A8297740002167_20250704141347626_base.jpg
Milk Tea 250 ml,Thai Tea 250 ml,8993200669769,https://c.alfagift.id/product/1/1_A8297750002167_20250704141355914_base.jpg
Milk 125 ml,Chocolate 125 ml,899320066626,https://c.alfagift.id/product/1/1_A7498250001001_20260224113307798_base.jpg
Milk 750 ml,Almond 750 ml,899320066765,https://c.alfagift.id/product/1/1_A7942710002167_20250507140224214_base.jpg
Milk 750 ml,Chocolate 750 ml,899320066373,https://c.alfagift.id/product/1/1_A8279380002167_20250509134509087_base.jpg
`;
